accountant auditor,accountingauditor,accountantauditor,,,,,,,,,,,,,,,,
accounting clerk,accounting clerks,accounting clk,accounting clks,acct clerks,,,,,,,,,,,,,,
accounting manager,accounts mgr,account manager,manager of accounting,,,,,,,,,,,,,,,
administrative assistant,adm assistant,admin assistant,assistant administrator,,,,,,,,,,,,,,,
assistant bookkeeper,ass t bookkeeper,,,,,,,,,,,,,,,,,
assistant controller,assistant to controller,,,,,,,,,,,,,,,,,
assistant credit manager,assistant credit mgr,,,,,,,,,,,,,,,,,
assistant director of nursing,assistant dir nsg,,,,,,,,,,,,,,,,,
assistant manager,manager assistant,,,,,,,,,,,,,,,,,
assistant tax manager,assistant tax mgr,,,,,,,,,,,,,,,,,
auto mechanic,automobile mechanic,automotive mechanic,,,,,,,,,,,,,,,,
auto sale,automobile sales,automobile salesman,automobile salesperson,,,,,,,,,,,,,,,
builder developer,builderdevelopers,,,,,,,,,,,,,,,,,
chief accountant,chief acct,,,,,,,,,,,,,,,,,
cost accountant,cost accounting,,,,,,,,,,,,,,,,,
database administrator,data base administrator,,,,,,,,,,,,,,,,,
data processing manager,manager data processing,,,,,,,,,,,,,,,,,
design checker,designer checker,,,,,,,,,,,,,,,,,
design draftsman,designer draftsman,design drafter,designer drafter,,,,,,,,,,,,,,,
design engineer,engineer designer,designer engineer,,,,,,,,,,,,,,,,
digital technician,digital tech,,,,,,,,,,,,,,,,,
director of nursing,director of nurse,,,,,,,,,,,,,,,,,
electronic technician,electronic tech,,,,,,,,,,,,,,,,,
employment manager,manager of employment,manager employment,,,,,,,,,,,,,,,,
employee relation manager,manager employee relation,,,,,,,,,,,,,,,,,
engineering manager,management engineer,manager of engineering,,,,,,,,,,,,,,,,
engineering technician,engineer technician,,,,,,,,,,,,,,,,,
executive assistant,exec assistant,,,,,,,,,,,,,,,,,
executive sale,sale executive,,,,,,,,,,,,,,,,,
executive secretary,exec secretary,executive secy,executive secretarial,executive secty,,,,,,,,,,,,,,
field sales manager,field sales manager you are,,,,,,,,,,,,,,,,,
financial analyst,fin analyst,,,,,,,,,,,,,,,,,
food technologist,food tech,,,,,,,,,,,,,,,,,
foreman,foremen,,,,,,,,,,,,,,,,,
general accountant,general accounting,,,,,,,,,,,,,,,,,
host,hostesses,host hostess,hostess,hostess host,,,,,,,,,,,,,,
industrial sale,sale industrial,,,,,,,,,,,,,,,,,
international scout,int l scout,int scout,intl scout,,,,,,,,,,,,,,,
keypunch operator,key punch operator,,,,,,,,,,,,,,,,,
lab assistant,laboratory assistant,,,,,,,,,,,,,,,,,
lab technician,lab tech,laboratory technician,,,,,,,,,,,,,,,,
licensed electrician,lic electrician,,,,,,,,,,,,,,,,,
licensed plumber,licensed plumbers,lic plumber,,,,,,,,,,,,,,,,
industrial relation manager,manager industrial relation,,,,,,,,,,,,,,,,,
instrument engineer,instrumentation engineer,,,,,,,,,,,,,,,,,
management trainee,mgmt trainee,,,,,,,,,,,,,,,,,
manager advertising,manageradvertising,,,,,,,,,,,,,,,,,
manager equipment,managerequipment,,,,,,,,,,,,,,,,,
manager material,managermaterials,,,,,,,,,,,,,,,,,
manager plant,managerplant,,,,,,,,,,,,,,,,,
manager telecommunication,managertelecommunications,,,,,,,,,,,,,,,,,
manager warehousing,managerwarehousing,,,,,,,,,,,,,,,,,
manufacturing engineering manager,manager manufacturing engineering,,,,,,,,,,,,,,,,,
marketing analyst,market analyst,,,,,,,,,,,,,,,,,
marketing director,director of marketing,,,,,,,,,,,,,,,,,
marketing research analyst,market research analyst,,,,,,,,,,,,,,,,,
marketing sale,marketingsales,,,,,,,,,,,,,,,,,
mechanical engineer,engineer mechanical,,,,,,,,,,,,,,,,,
medical technician,med tech,,,,,,,,,,,,,,,,,
nurse aide,nurse s aide,,,,,,,,,,,,,,,,,
nurse recruiter,nurse recruitment,,,,,,,,,,,,,,,,,
nurse,nurse nursenurse,,,,,,,,,,,,,,,,,
nursing assistant,nurse assistant,,,,,,,,,,,,,,,,,
personnel consultant,personnel consuitants,personnel consuliants,personnel consutants,personnel cosultants,,,,,,,,,,,,,,
personnel director,personnel dlrectro,director of personnel,,,,,,,,,,,,,,,,
personnel manager,personnel mgr,manager of personnel,,,,,,,,,,,,,,,,
personnel secretary,personnel secty,personnel secy,personnel sec,secretary personnel,,,,,,,,,,,,,,
pipefitter,pipe fitter,,,,,,,,,,,,,,,,,
professional help,help professional,,,,,,,,,,,,,,,,,
professional employment manager,manager professional employment,,,,,,,,,,,,,,,,,
professional recruiter,professional recruitment,,,,,,,,,,,,,,,,,
programmer analyst cobol,programmer analystcobol,,,,,,,,,,,,,,,,,
